Query,Expected Answer,Context
What is the operational clinical definition of asthma according to global management guidelines?,"Asthma is a heterogeneous disease, usually characterized by chronic airway inflammation. It is defined by the history of respiratory symptoms such as wheeze, shortness of breath, chest tightness, and cough that vary over time and in intensity, together with variable expiratory airflow limitation.","[GINA Asthma WMS.pdf, p. 26] Asthma is a heterogeneous disease, usually characterized by chronic airway inflammation. It is defined by the history of respiratory symptoms, such as wheeze, shortness of breath, chest tightness and cough, that vary over time and vary in intensity, together with variable expiratory airflow. Airflow limitation may later become persistent. Asthma is usually associated with airway hyperresponsivenes... | [GINA Asthma WMS.pdf, p. 27] asthma that may be life-threatening and place a significant burden on patients and the community. Most asthma deaths occur in low- and middle-income countries.4 Asthma is usually associated with airway hyperresponsiveness to direct or indirect stimuli, and with chronic airway inflammation. These features usually persist, even when symptoms are absent or lung function is normal, but may normalize w... | [WHO asthma.pdf, p. 19] 1. Introduction | [WHO asthma.pdf, p. 20] asthma and other chronic airway diseases. Although these conditions differ in their underlying pathophysiology and natural history, they often present with similar clinical features, including wheeze, tachypnoea, chest indrawing and varying degrees of hypoxaemia, particularly during acute episodes. Bronchiolitis typically affects infants in the first 2 years of life, with the highest incidence occ... | [WHO asthma.pdf, p. 25] Management of asthma in children and adolescents..."
"What are the characteristic respiratory symptoms of asthma, and how do their patterns typically vary?","The key symptoms of asthma are wheezing, shortness of breath, chest tightness, and cough. These symptoms typically vary in frequency and intensity, often worsening at night or in the early morning, and are triggered by exercise, laughter, allergens, or viral infections.","[GINA Asthma WMS.pdf, p. 26] ition, description, and diagnosis of asthma in adults, adolescents and children 6–11 years KEY POINTS What is asthma? Asthma is a heterogeneous disease, usually characterized by chronic airway inflammation. It is defined by the history of respiratory symptoms, such as wheeze, shortness of breath, chest tightness and cough, that vary over time and vary in intensity, together with variable expirator... | [GINA Asthma WMS.pdf, p. 27] Symptoms and airflow limitation may resolve spontaneously or in response to medication, and may sometimes be absent for weeks or months at a time. Conversely, patients can experience episodic flare-ups (exacerbations, attacks) of asthma that may be life-threatening and place a significant burden on patients and the community. Most asthma deaths occur in low- and middle-income countries.4 Asthma is... | [GINA Asthma WMS.pdf, p. 40] asthma (adults, adolescents, children 6–11 years) 39 2. Assessment of asthma in adults, adolescents and children 6–11 years KEY POINTS Asthma control Asthma control is the extent to which the features of asthma have been reduced or resolved by treatment. It is assessed in two domains: symptom control and risk of adverse outcomes. Poor symptom control is burdensome to patients and increases the ris... | [WHO asthma.pdf, p. 26] children have severe asthma symptoms, with prevalence varying between and within countries (21). The Global Initiative for Asthma (GINA) defines asthma as “a heterogeneous disease, usually characterized by chronic airway inflammation. It is defined by the history of respiratory symptoms, such as wheeze, shortness of breath, chest tightness and cough, that vary over time and in intensity, together ... | [WHO asthma.pdf, p. 20] symptoms that vary in severity and over time. Because bronchiolitis and asthma share overlapping clinical features especially wheeze and respiratory distress, distinguishing between them in routine clinical practice can be challenging, particularly in younger children and in settings with limited diagnostic capacity. These overlaps are most evident during acute presentations, when rapid decisions ..."
"How does cough present in asthma, and how is it distinguished from other respiratory conditions?","In asthma, cough is typically dry, recurrent, and worse at night or early morning, often occurring in response to exercise, cold air, or laughter. It is distinguished from upper airway cough syndrome, chronic bronchitis, or infection by its association with variable wheeze and bronchodilator responsiveness.","[GINA Asthma WMS.pdf, p. 28] 1. Diagnosis (adults, adolescents, children 6–11 years) 27 Box 1-1. Diagnostic flowchart for adults, adolescents and children 6–11 years in clinical practice This flowchart is for patients presenting with chronic or recurrent respiratory symptoms. See Box 9-4 (p.180) and Box 9-6 (p.186) for information on patients presenting with an acute exacerbation. ICS: inhaled corticosteroid; PEF: peak expira... | [GINA Asthma WMS.pdf, p. 30] 1. Diagnosis (adults, adolescents, children 6–11 years) 29 Abbreviations and footnotes for Box 1-2 BD: bronchodilator; FeNO: fractional exhaled nitric oxide; FEV1: forced expiratory volume in 1 second; FVC: forced vital capacity; ICS: inhaled corticosteroids; LABA: long-acting beta2-agonist; PEF: peak expiratory flow; SABA: short-acting beta2-agonist. †For each PEF measurement, use the highest of ... | [WHO asthma.pdf, p. 26] Asthma is a chronic respiratory illness, and one of the main NCDs included in WHO’s Global Action Plan for the Prevention and Control of Noncommunicable Diseases 2013–2030 (19). Every year, an estimated 426 000 people die from asthma, with half of these deaths in people aged less than 70 years. Over 95% of these premature deaths occur in LMICs (4). Asthma is a major cause of morbidity in young peo... | [WHO asthma.pdf, p. 56] infection of the lower respiratory tract that typically affects infants and children aged less than 2 years, and is the leading cause of hospitalization in children globally (154). It is primarily caused by the respiratory syncytial virus (RSV), but other viruses including adenovirus, human metapneumovirus, influenza and parainfluenza contribute significantly (154, 155). Children with viral bronch... | [GINA Asthma WMS.pdf, p. 27] variability of both symptoms and lung function (see p.31). In recognition that many health providers lack access (or ready access) to spirometry,32 GINA also provides advice on the use of PEF measurement in asthma diagnosis. COPYRIGHTED MATERIAL - DO NOT COPY OR DISTRIBUTE..."
What physical examination findings are typically observed in a patient during an asthma assessment?,"Physical examination in asthma patients may be completely normal when symptoms are controlled. During active symptoms or exacerbations, bilateral expiratory wheezing is the most common physical finding, along with signs of respiratory distress such as tachypnea, intercostal retractions, or use of accessory muscles.","[GINA Asthma WMS.pdf, p. 31] 30 1. Diagnosis (adults, adolescents, children 6–11 years) DIFFERENTIAL DIAGNOSIS The differential diagnosis in a patient with suspected asthma varies with age; see p.156 and p.159 for severe asthma. Any of these alternative diagnoses may also occur with asthma. See p.126 for management of multimorbidity. Box 1-3. Differential diagnosis of asthma in adults, adolescents and children 6–11 years Age ... | [GINA Asthma WMS.pdf, p. 41] 40 2. Assessment of asthma (adults, adolescents, children 6–11 years) OVERVIEW The long-term goal of asthma treatment is to achieve the best possible long-term outcomes for the patient (Box 3-2, p.55). For every patient, assessment of asthma should include the assessment of asthma control (both symptom control and future risk of adverse outcomes), treatment issues (particularly inhaler technique a... | [WHO asthma.pdf, p. 26] Asthma is a chronic respiratory illness, and one of the main NCDs included in WHO’s Global Action Plan for the Prevention and Control of Noncommunicable Diseases 2013–2030 (19). Every year, an estimated 426 000 people die from asthma, with half of these deaths in people aged less than 70 years. Over 95% of these premature deaths occur in LMICs (4). Asthma is a major cause of morbidity in young peo... | [WHO asthma.pdf, p. 59] signs and symptoms for the diagnosis of bronchiolitis Guiding principle for using clinical symptoms and signs in supporting a probable diagnosis of bronchiolitis in an infant or child Good practice statement 1: In infants and children aged less than 2 years presenting with cough and difficulty in breathing, a comprehensive history and assessment of clinical signs and symptoms should be done. A dia... | [GINA Asthma WMS.pdf, p. 180] 9. Management of exacerbations (adults, adolescents, children 6–11 years) 179 Physical examination The physical examination should assess: • Vital signs, e.g., level of consciousness, pulse rate, cyanosis, temperature, blood pressure, respiratory rate, oxygen saturation • Symptoms and signs of exacerbation severity (Box 9-4, p.180) including respiratory rate, ability to complete sentences, air ent..."
How is variable expiratory airflow limitation objectively confirmed using spirometry in adults and adolescents?,"Variable expiratory airflow limitation is confirmed by spirometry showing a reduced FEV1/FVC ratio (typically < 0.75–0.80 in adults and < 0.90 in children) plus documentation of excessive variability in lung function, such as a positive bronchodilator reversibility test.","[GINA Asthma WMS.pdf, p. 26] the history of respiratory symptoms, such as wheeze, shortness of breath, chest tightness and cough, that vary over time and vary in intensity, together with variable expiratory airflow. Airflow limitation may later become persistent. Asthma is usually associated with airway hyperresponsiveness and airway inflammation, but these are not necessary or sufficient to make the diagnosis. Recognizable c... | [GINA Asthma WMS.pdf, p. 28] spirometry, but it is better than no objective measurement of lung function. When measuring PEF, use the same meter each time as the value may vary by up to 20% between different meters, and use only the highest of three readings. For more information about diagnosis, see text and Box 1-2, p.28. COPYRIGHTED MATERIAL - DO NOT COPY OR DISTRIBUTE... | [GINA Asthma WMS.pdf, p. 29] agnosis (adults, adolescents, children 6–11 years) Box 1-2. Criteria for initial diagnosis of asthma in adults (≥18 years) and children (6–17 years) 1. HISTORY OF TYPICAL VARIABLE RESPIRATORY SYMPTOMS Symptoms may include: Symptoms or features that support the diagnosis of asthma Wheeze, shortness of breath, chest tightness, cough (Descriptors may vary by region and by age) • Symptoms occur variab... | [WHO asthma.pdf, p. 26] Asthma is a chronic respiratory illness, and one of the main NCDs included in WHO’s Global Action Plan for the Prevention and Control of Noncommunicable Diseases 2013–2030 (19). Every year, an estimated 426 000 people die from asthma, with half of these deaths in people aged less than 70 years. Over 95% of these premature deaths occur in LMICs (4). Asthma is a major cause of morbidity in young peo... | [GINA Asthma WMS.pdf, p. 30] the highest of 3 readings. Use the same PEF meter each time, as PEF may vary by up to 20% between different meters. *Daily diurnal PEF variability is calculated from twice daily PEF as (day’s highest minus day’s lowest) divided by (mean of day’s highest and lowest), averaged over two weeks. A PEF variability calculator is available.33 Bronchodilator responsiveness testing: use either a SABA or a r..."
What specific bronchodilator reversibility criteria indicate a positive diagnostic test for asthma?,"In adults and adolescents, a positive bronchodilator reversibility test requires an increase in FEV1 of > 12% AND > 200 mL from baseline after administering 200–400 mcg of salbutamol/albuterol (in children, an increase in FEV1 of > 12% predicted).","[GINA Asthma WMS.pdf, p. 28] 1. Diagnosis (adults, adolescents, children 6–11 years) 27 Box 1-1. Diagnostic flowchart for adults, adolescents and children 6–11 years in clinical practice This flowchart is for patients presenting with chronic or recurrent respiratory symptoms. See Box 9-4 (p.180) and Box 9-6 (p.186) for information on patients presenting with an acute exacerbation. ICS: inhaled corticosteroid; PEF: peak expira... | [GINA Asthma WMS.pdf, p. 29] initial diagnosis of asthma in adults (≥18 years) and children (6–17 years) 1. HISTORY OF TYPICAL VARIABLE RESPIRATORY SYMPTOMS Symptoms may include: Symptoms or features that support the diagnosis of asthma Wheeze, shortness of breath, chest tightness, cough (Descriptors may vary by region and by age) • Symptoms occur variably over time and vary in intensity • Symptoms are often worse at night or... | [WHO asthma.pdf, p. 26] Asthma is a chronic respiratory illness, and one of the main NCDs included in WHO’s Global Action Plan for the Prevention and Control of Noncommunicable Diseases 2013–2030 (19). Every year, an estimated 426 000 people die from asthma, with half of these deaths in people aged less than 70 years. Over 95% of these premature deaths occur in LMICs (4). Asthma is a major cause of morbidity in young peo... | [GINA Asthma WMS.pdf, p. 30] 1. Diagnosis (adults, adolescents, children 6–11 years) 29 Abbreviations and footnotes for Box 1-2 BD: bronchodilator; FeNO: fractional exhaled nitric oxide; FEV1: forced expiratory volume in 1 second; FVC: forced vital capacity; ICS: inhaled corticosteroids; LABA: long-acting beta2-agonist; PEF: peak expiratory flow; SABA: short-acting beta2-agonist. †For each PEF measurement, use the highest of ... | [WHO asthma.pdf, p. 27] Table 1 Classifications of asthma exacerbation severity in the available guidelines BTS/SIGN 2019 (23) GINA 2023 (22) National Asthma Council Australia (43) NHLBI 2007 (25) MODERATE Speech Able to talk in whole sentences Dyspnoea interferes with or limits usual activity Oxygen saturation ≥ ≥92% 90–95% >94% PEF rate ≥50% best or predicted >50% best or predicted >40% best or predicted Heart rate ≤14..."
What peak expiratory flow (PEF) variability parameters support a diagnosis of asthma?,"A diagnosis of asthma is supported by an average daily diurnal PEF variability of > 10% in adults (calculated from twice-daily readings as [day's highest PEF minus day's lowest PEF] divided by average of highest and lowest), or > 13% in children.","[GINA Asthma WMS.pdf, p. 28] 1. Diagnosis (adults, adolescents, children 6–11 years) 27 Box 1-1. Diagnostic flowchart for adults, adolescents and children 6–11 years in clinical practice This flowchart is for patients presenting with chronic or recurrent respiratory symptoms. See Box 9-4 (p.180) and Box 9-6 (p.186) for information on patients presenting with an acute exacerbation. ICS: inhaled corticosteroid; PEF: peak expira... | [GINA Asthma WMS.pdf, p. 29] diurnal PEF variability >10%* Children: average daily diurnal PEF variability >13%* Increase in lung function after 4 weeks of ICS-containing treatment Adults: increase from baseline in FEV1 by ≥12% and ≥200 mL (or PEF† by ≥20%) after 4 weeks of daily ICS-containing treatment Children: increase from baseline in FEV1 of ≥12% predicted (or in PEF† of ≥15%) Positive bronchial provocation test Adults:... | [WHO asthma.pdf, p. 27] peak bpm: beats per minute; BTS/SIGN: British Thoracic Society, Scottish Intercollegiate Guidelines Network; GINA: Global Initiative for Asthma; NHLBI: National Heart, Lung, and Blood Institute (United States of America); PEF: peak expiratory flow; y: years. Management of asthma in children and adolescents 9 Introduction and context Process and methods Management of asthma in children and adolesce... | [GINA Asthma WMS.pdf, p. 30] agnosis (adults, adolescents, children 6–11 years) 29 Abbreviations and footnotes for Box 1-2 BD: bronchodilator; FeNO: fractional exhaled nitric oxide; FEV1: forced expiratory volume in 1 second; FVC: forced vital capacity; ICS: inhaled corticosteroids; LABA: long-acting beta2-agonist; PEF: peak expiratory flow; SABA: short-acting beta2-agonist. †For each PEF measurement, use the highest of 3 rea... | [WHO asthma.pdf, p. 28] For patients with moderate or severe symptoms, prompt treatment with oral corticosteroids, for example, prednisolone or dexamethasone is advised. Administration of corticosteroids significantly reduces the need for hospital admission when given within 1 hour of presentation for emergency care and reduces relapse of symptoms (26, 27). In patients who are not able to tolerate oral medication, the in..."
How is asthma diagnosed in young children aged 5 years and under when spirometry cannot be performed?,"In children 5 years and under, diagnosis relies on clinical judgment based on symptom patterns (recurrent wheezing, cough with exercise/laughing/crying), documented response to a 2–3 month trial of low-dose ICS controller treatment, and exclusion of alternative diagnoses.","[GINA Asthma WMS.pdf, p. 193] Diagnosis of asthma (children 5 years or younger) 10. Diagnosis of asthma in children 5 years and younger KEY POINTS The diagnosis of asthma can be made in children aged 5 years or younger, though it may be challenging. Diagnostic assessment in this age-group involves a thorough medical history and physical examination to identify signs and symptoms consistent with asthma and to exclude other resp... | [GINA Asthma WMS.pdf, p. 194] agnosis of asthma (children 5 years or younger) 193 ASTHMA AND WHEEZING IN YOUNG CHILDREN Asthma is the most common chronic disease of childhood and the leading cause of childhood morbidity from chronic disease as measured by school absences, emergency department visits and hospitalizations.862 Asthma often begins in early childhood; in up to half of people with asthma, symptoms commence during ch... | [GINA Asthma WMS.pdf, p. 195] 194 10. Diagnosis of asthma (children 5 years or younger) CLINICAL DIAGNOSIS OF ASTHMA The diagnosis of asthma in young children is made by confirming a pattern of recurrent asthma-like symptoms, with careful consideration of the differential diagnosis, and confirming treatment response. A structured, criterion-based approach is recommended. All three criteria must be met to confirm the diagnosis ... | [WHO asthma.pdf, p. 25] in children and adolescents... | [WHO asthma.pdf, p. 26] Asthma is a chronic respiratory illness, and one of the main NCDs included in WHO’s Global Action Plan for the Prevention and Control of Noncommunicable Diseases 2013–2030 (19). Every year, an estimated 426 000 people die from asthma, with half of these deaths in people aged less than 70 years. Over 95% of these premature deaths occur in LMICs (4). Asthma is a major cause of morbidity in young peo..."
What role do fractional exhaled nitric oxide (FeNO) and blood eosinophils play in asthma assessment?,"FeNO and blood eosinophils are markers of Type 2 airway inflammation. While elevated FeNO (> 20–25 ppb) supports a diagnosis of eosinophilic asthma and predicts good response to ICS, normal FeNO does not rule out asthma. Blood eosinophils help phenotype severe asthma for biologic eligibility.","[GINA Asthma WMS.pdf, p. 32] 1. Diagnosis (adults, adolescents, children 6–11 years) 31 CONFIRMING THE DIAGNOSIS OF ASTHMA Why is it important to confirm the diagnosis of asthma? This is important to avoid unnecessary treatment or over-treatment, and to avoid missing other important diagnoses. In a sample of adults with an asthma diagnosis in the previous 5 years, one-third could not be confirmed as having asthma after repeat... | [GINA Asthma WMS.pdf, p. 239] FeNO), serum total immunoglobulin E (IgE), and allergen-specific IgE. These biomarkers have roles in diagnosis, phenotyping, monitoring, prognosis and prediction of treatment response in asthma. Sputum eosinophil count is useful in directing corticosteroid therapy in patients with moderate–severe asthma, but it is not generally available in clinical practice. This Appendix brings together and expa... | [GINA Asthma WMS.pdf, p. 240] blood eosinophils and FeNO, and factors affecting their levels, in adults and adolescents Biomarker Typical criteria for ‘high’ in adults/adolescents Factors affecting measurement Blood eosinophil count (BEC) For diagnosis of asthma: BEC ≥ upper limit of normal for the population from regional or national laboratory reference values. In severe asthma patients taking high-dose ICS: • BEC ≥150/μL su... | [WHO asthma.pdf, p. 27] Table 1 Classifications of asthma exacerbation severity in the available guidelines BTS/SIGN 2019 (23) GINA 2023 (22) National Asthma Council Australia (43) NHLBI 2007 (25) MODERATE Speech Able to talk in whole sentences Dyspnoea interferes with or limits usual activity Oxygen saturation ≥ ≥92% 90–95% >94% PEF rate ≥50% best or predicted >50% best or predicted >40% best or predicted Heart rate ≤14... | [GINA Asthma WMS.pdf, p. 152] interfere with day-to-day living, sleeping, and physical activity, and patients often have frightening or unpredictable exacerbations (also called attacks or severe flare-ups). Medication side-effects are particularly common and problematic with OCS,181 which in the past were a mainstay of treatment for severe asthma. Adverse effects of long-term or frequent OCS include obesity, diabetes, osteopor..."
What host and environmental risk factors increase the risk of developing asthma?,"Host risk factors include genetic predisposition, personal atopy (allergic rhinitis, eczema), sex (male in childhood, female in adulthood), and obesity. Environmental risk factors include exposure to indoor/outdoor allergens, tobacco smoke, occupational sensitizers, air pollution, and early viral infections.","[GINA Asthma WMS.pdf, p. 27] 26 1. Diagnosis (adults, adolescents, children 6–11 years) respiratory infections. Symptoms and airflow limitation may resolve spontaneously or in response to medication, and may sometimes be absent for weeks or months at a time. Conversely, patients can experience episodic flare-ups (exacerbations, attacks) of asthma that may be life-threatening and place a significant burden on patients and the ... | [GINA Asthma WMS.pdf, p. 230] Primary prevention of asthma 229 13. Primary prevention of asthma KEY POINTS Children The development and persistence of asthma are driven by gene–environment interactions. There is assumed to be a “window of opportunity” in utero and in early life to prevent asthma in children, but intervention studies are limited. Factors associated with increased or decreased risk of asthma in children can info... | [GINA Asthma WMS.pdf, p. 231] atopy in the child.935-938 Dietary changes during pregnancy are therefore not recommended for prevention of allergies or asthma. Breastfeeding Despite the existence of many studies reporting a beneficial effect of breastfeeding on asthma prevention, results are conflicting,939 and caution should be taken in advising families that breastfeeding will prevent asthma. Breastfeeding decreases wheezing ... | [WHO asthma.pdf, p. 19] 1. Introduction | [WHO asthma.pdf, p. 20] Respiratory illness is a leading cause of morbidity among children globally, with both acute and chronic conditions contributing substantially to outpatient visits and hospital admissions throughout infancy, childhood and adolescence (4). Among the diverse clinical presentations of paediatric respiratory disease, wheeze is one of the most frequent and clinically important. Wheeze, defined as a hig..."
"What is occupational asthma, and what types of workplace exposures are known causes?","Occupational asthma is asthma caused by workplace exposures to sensitizers or irritants. Common causes include proteins (flour, laboratory animals, latex), chemicals (isocyanates, acid anhydrides, persulfates), and wood dusts. Early identification and complete exposure removal are essential.","[GINA Asthma WMS.pdf, p. 33] 32 1. Diagnosis (adults, adolescents, children 6–11 years) How much variation in expiratory airflow is consistent with asthma? Responsiveness (previously called “reversibility”)38 generally refers to rapid improvements in FEV1 (or PEF), measured within minutes after inhalation of a rapid-acting bronchodilator such as 200–400 mcg salbutamol (albuterol), or more sustained improvement over days or we... | [GINA Asthma WMS.pdf, p. 137] common, but bronchoconstriction may be induced by hyperventilation during labor, and should be managed with SABA. Neonatal hypoglycemia may be seen, especially in preterm babies, when high doses of beta-agonists have been given within the last 48 hours prior to delivery. If high doses of SABA have been given during labor and delivery, blood glucose levels should be monitored in the baby (especiall... | [GINA Asthma WMS.pdf, p. 232] 13. Primary prevention of asthma 231 Probiotics A 2013 meta-analysis provided insufficient evidence to recommend probiotics for the prevention of allergic disease (asthma, rhinitis, eczema or food allergy).949 Further studies are underway. ENVIRONMENTAL FACTORS AND RISK OF ASTHMA IN CHILDREN Inhalant allergens Allergic sensitization is the best predictor for development of persistent asthma.950 Se... | [WHO asthma.pdf, p. 20] Respiratory illness is a leading cause of morbidity among children globally, with both acute and chronic conditions contributing substantially to outpatient visits and hospital admissions throughout infancy, childhood and adolescence (4). Among the diverse clinical presentations of paediatric respiratory disease, wheeze is one of the most frequent and clinically important. Wheeze, defined as a hig... | [GINA Asthma WMS.pdf, p. 138] 6. Multimorbidity and specific populations 137 Women – perimenstrual asthma (catamenial asthma) Clinical features In approximately 20% of women, asthma is worse in the premenstrual phase. These women tend to be older, have more severe asthma, a higher BMI, a longer duration of asthma, and a greater likelihood of aspirin-exacerbated respiratory disease (AERD). They more often have dysmenorrhea, pre..."
